Project ID,Monitoring Location ID,Activity ID (CHILD-subset),Activity ID User Supplied(PARENTs),Activity Type,Activity Media Name,Activity Start Date,Activity Start Time,Activity Start Time Zone,Activity Depth/Height Measure,Activity Depth/Height Unit,Sample Collection Method ID,Sample Collection Method Context,Sample Collection Equipment Name,Sample Collection Equipment Comment,Characteristic Name,Characteristic Name User Supplied,Method Speciation,Result Detection Condition,Result Value,Result Unit,Result Measure Qualifier,Result Sample Fraction,Result Status ID,ResultTemperatureBasis,Statistical Base Code,ResultTimeBasis,Result Value Type,Result Analytical Method ID,Result Analytical Method Context,Analysis Start Date,Result Detection/Quantitation Limit Measure,Result Detection/Quantitation Limit Unit,Result Comment,Result Detection/Quantitation Limit Type
CS,FC1,FC1:01262022:1113:FM:PS:0.195:Hydro,,Field Msr/Obs,Water,01/26/2022,11:13,PST,0.195,m,BVR SWQAPP,CA_BVR,Probe/Sensor,Hydrolab Surveyor DS5 Multiprobe,"Temperature, water",,,,5.95,deg C,,,Final,,,,Actual,,,,,,,
CS,FC1,FC1:01262022:1113:FM:PS:0.195:Hydro,,Field Msr/Obs,Water,01/26/2022,11:13,PST,0.195,m,BVR SWQAPP,CA_BVR,Probe/Sensor,Hydrolab Surveyor DS5 Multiprobe,Specific conductance,,,,.3164,mS/cm,,,Final,,,,Actual,,,,,,,
CS,FC1,FC1:01262022:1113:FM:PS:0.195:Hydro,,Field Msr/Obs,Water,01/26/2022,11:13,PST,0.195,m,BVR SWQAPP,CA_BVR,Probe/Sensor,Hydrolab Surveyor DS5 Multiprobe,Resistivity,,,,3.16,KOhm/cm,,,Final,,,,Actual,,,,,,,
CS,FC1,FC1:01262022:1113:FM:PS:0.195:Hydro,,Field Msr/Obs,Water,01/26/2022,11:13,PST,0.195,m,BVR SWQAPP,CA_BVR,Probe/Sensor,Hydrolab Surveyor DS5 Multiprobe,Salinity,,,,.15,ppt,,,Final,,,,Actual,,,,,,,
CS,FC1,FC1:01262022:1113:FM:PS:0.195:Hydro,,Field Msr/Obs,Water,01/26/2022,11:13,PST,0.195,m,BVR SWQAPP,CA_BVR,Probe/Sensor,Hydrolab Surveyor DS5 Multiprobe,Total dissolved solids,,,,.2025,g/L,,,Final,,,,Actual,,,,,,,
CS,FC1,FC1:01262022:1113:FM:PS:0.195:Hydro,,Field Msr/Obs,Water,01/26/2022,11:13,PST,0.195,m,BVR SWQAPP,CA_BVR,Probe/Sensor,Hydrolab Surveyor DS5 Multiprobe,Dissolved oxygen saturation,,,,80.8,%,,,Final,,,,Actual,,,,,,,
CS,FC1,FC1:01262022:1113:FM:PS:0.195:Hydro,,Field Msr/Obs,Water,01/26/2022,11:13,PST,0.195,m,BVR SWQAPP,CA_BVR,Probe/Sensor,Hydrolab Surveyor DS5 Multiprobe,Dissolved oxygen (DO),,,,10.13,mg/L,,,Final,,,,Actual,,,,,,,
CS,FC1,FC1:01262022:1113:FM:PS:0.195:Hydro,,Field Msr/Obs,Water,01/26/2022,11:13,PST,0.195,m,BVR SWQAPP,CA_BVR,Probe/Sensor,Hydrolab Surveyor DS5 Multiprobe,pH,,,,7.4,None,,,Final,,,,Actual,,,,,,,
CS,FC1,FC1:01262022:1113:FM:PS:0.195:Hydro,,Field Msr/Obs,Water,01/26/2022,11:13,PST,0.195,m,BVR SWQAPP,CA_BVR,Probe/Sensor,Hydrolab Surveyor DS5 Multiprobe,Turbidity,,,,0,NTU,,,Final,,,,Actual,,,,,,,
HAB,LPTNT,LPTNT:02212022:1458:FM:PS:0.489:Hydro,,Field Msr/Obs,Water,02/21/2022,14:58,PST,0.489,m,BVR SWQAPP,CA_BVR,Probe/Sensor,Hydrolab Surveyor DS5 Multiprobe,"Temperature, water",,,,10.75,deg C,,,Final,,,,Actual,,,,,,,
HAB,LPTNT,LPTNT:02212022:1458:FM:PS:0.489:Hydro,,Field Msr/Obs,Water,02/21/2022,14:58,PST,0.489,m,BVR SWQAPP,CA_BVR,Probe/Sensor,Hydrolab Surveyor DS5 Multiprobe,Specific conductance,,,,.354,mS/cm,,,Final,,,,Actual,,,,,,,
HAB,LPTNT,LPTNT:02212022:1458:FM:PS:0.489:Hydro,,Field Msr/Obs,Water,02/21/2022,14:58,PST,0.489,m,BVR SWQAPP,CA_BVR,Probe/Sensor,Hydrolab Surveyor DS5 Multiprobe,Resistivity,,,,2.825,KOhm/cm,,,Final,,,,Actual,,,,,,,
HAB,LPTNT,LPTNT:02212022:1458:FM:PS:0.489:Hydro,,Field Msr/Obs,Water,02/21/2022,14:58,PST,0.489,m,BVR SWQAPP,CA_BVR,Probe/Sensor,Hydrolab Surveyor DS5 Multiprobe,Salinity,,,,.17,ppt,,,Final,,,,Actual,,,,,,,
HAB,LPTNT,LPTNT:02212022:1458:FM:PS:0.489:Hydro,,Field Msr/Obs,Water,02/21/2022,14:58,PST,0.489,m,BVR SWQAPP,CA_BVR,Probe/Sensor,Hydrolab Surveyor DS5 Multiprobe,Total dissolved solids,,,,.2265,g/L,,,Final,,,,Actual,,,,,,,
HAB,LPTNT,LPTNT:02212022:1458:FM:PS:0.489:Hydro,,Field Msr/Obs,Water,02/21/2022,14:58,PST,0.489,m,BVR SWQAPP,CA_BVR,Probe/Sensor,Hydrolab Surveyor DS5 Multiprobe,Dissolved oxygen saturation,,,,118.6,%,,,Final,,,,Actual,,,,,,,
HAB,LPTNT,LPTNT:02212022:1458:FM:PS:0.489:Hydro,,Field Msr/Obs,Water,02/21/2022,14:58,PST,0.489,m,BVR SWQAPP,CA_BVR,Probe/Sensor,Hydrolab Surveyor DS5 Multiprobe,Dissolved oxygen (DO),,,,13.15,mg/L,,,Final,,,,Actual,,,,,,,
HAB,LPTNT,LPTNT:02212022:1458:FM:PS:0.489:Hydro,,Field Msr/Obs,Water,02/21/2022,14:58,PST,0.489,m,BVR SWQAPP,CA_BVR,Probe/Sensor,Hydrolab Surveyor DS5 Multiprobe,pH,,,,8.64,None,,,Final,,,,Actual,,,,,,,
HAB,LPTNT,LPTNT:02212022:1458:FM:PS:0.489:Hydro,,Field Msr/Obs,Water,02/21/2022,14:58,PST,0.489,m,BVR SWQAPP,CA_BVR,Probe/Sensor,Hydrolab Surveyor DS5 Multiprobe,Turbidity,,,,9.6,NTU,,,Final,,,,Actual,,,,,,,
